Country,Pango,Concern1,Concern2
GBR,AY.111,0,0.00861534996339884
GBR,AY.120,0.00871622653030071,0.03564779700751568
GBR,AY.121,0,0.00336015429587439
GBR,AY.122,0,0.01335252503598444
GBR,AY.126,0,0.00462438367071938
GBR,AY.127,0,0.00876955067353765
GBR,AY.3,0,0.00336442526335328
GBR,AY.34,0,0.00458459508382534
GBR,AY.34.1,0,0.00454782102716442
GBR,AY.36,0,0.00466146436941461
GBR,AY.39,0,0.00939406262708418
GBR,AY.4,0.0535109143642192,0.7450817071235919
GBR,AY.4.1,0,0.00291455744746126
GBR,AY.4.10,0,0.00262938616794741
GBR,AY.4.2,0.01915738055258739,0.1399105748323278
GBR,AY.4.2.1,0.00988398717753014,0.03978194959115548
GBR,AY.4.2.2,0.02479010838039994,0.06898110478256939
GBR,AY.4.2.3,0,0.00485527228434639
GBR,AY.4.2.5,0,0.00275743603652472
GBR,AY.4.5,0,0.00205187884727283
GBR,AY.4.8,0,0.00701991478499164
GBR,AY.43,0.01045641886734849,0.05541604140507764
GBR,AY.46,0,0.00212458186420757
GBR,AY.46.5,0,0.01612603833124507
GBR,AY.5,0.00644176461608914,0.05407415884641795
GBR,AY.6,0.01095252633185773,0.04105630579079881
GBR,AY.7,0,0.01686572566051393
GBR,AY.8,0,0.0151367715428695
GBR,AY.9,0.00578537627843077,0.06136939983093829
GBR,AY.9.2,0,0.0048699194519026
GBR,AY.98,0.00609830560219813,0.04543227268551128
GBR,B.1.1,0.00820485422072966,0.3344322344322344
GBR,B.1.1.1,5.724316898183484e-4,0.0639269406392694
GBR,B.1.1.301,5.3426957716379177e-5,0.0727124183006536
GBR,B.1.1.307,0.00202259197069149,0.05155642023346303
GBR,B.1.1.311,0.00165623568920775,0.05942622950819672
GBR,B.1.1.369,0.00123645245000763,0.11713147410358564
GBR,B.1.1.37,8.395664784002442e-5,0.0906614785992218
GBR,B.1.1.372,5.419019996947031e-4,0.04891640866873065
GBR,B.1.1.7,0.02024881697450771,0.983621320425508
GBR,B.1.160,6.563883376583728e-4,0.0520431765612953
GBR,B.1.177,0.00327430926576095,0.3917225298746721
GBR,B.1.177.11,0,0.02996108949416342
GBR,B.1.177.15,0,0.02128053293856402
GBR,B.1.177.16,0,0.02040518874799592
GBR,B.1.177.4,0.00380857884292474,0.05299924069855732
GBR,B.1.177.54,0,0.01641454779530093
GBR,B.1.177.57,0.00224393222408792,0.04028997630001394
GBR,B.1.177.65,4.5794535185467866e-4,0.04174573055028463
GBR,B.1.177.7,0.00178598687223324,0.07454594741122256
GBR,B.1.177.87,0,0.0189893788220148
GBR,B.1.222,2.2897267592733932e-5,0.03346613545816733
GBR,B.1.258,4.503129293237674e-4,0.06137724550898203
GBR,B.1.391,0,0.02706308366685725
GBR,B.1.617.2,0.00418256754693939,0.06192568917299241
GBR,B.1.93,7.021828728438406e-4,0.05696594427244582
GBR,BA.1,0.1989925202259197,0.3336611647994527
GBR,BA.1.1,0.1065562509540528,0.3461207822909951
GBR,BA.1.1.1,0,0.01310982162045991
GBR,BA.1.1.12,0,0.00786243118395241
GBR,BA.1.1.13,0,0.01396886667088527
GBR,BA.1.1.14,0,0.01716634429400387
GBR,BA.1.1.15,0,0.02057894173093401
GBR,BA.1.1.18,0,0.00168484899540878
GBR,BA.1.1.4,0,0.00407026563838903
GBR,BA.1.10,0,0.00303931019708654
GBR,BA.1.12,0,0.00554332260597754
GBR,BA.1.14,0,0.00188255394545339
GBR,BA.1.15,0.01933292627079835,0.04506969982040537
GBR,BA.1.15.1,0.02988856663104869,0.07378677513953269
GBR,BA.1.16,0,0.02480116308902762
GBR,BA.1.17,0,0.01944782347597123
GBR,BA.1.17.2,0.16138757441611967,0.2810228341742923
GBR,BA.1.18,0,0.0069132443206986
GBR,BA.1.7,0,0.00142535420051882
GBR,BA.2,0.20514425278583423,0.7412076030047803
GBR,BA.2.1,0,0.02628338954017451
GBR,BA.2.10,0.00487711799725232,0.0302438343740189
GBR,BA.2.10.1,0,0.00257792359971877
GBR,BA.2.12,0,0.00351535036325287
GBR,BA.2.12.1,0.00413677301175393,0.12793876435210497
GBR,BA.2.18,9.158907037093572e-4,0.04759054175396587
GBR,BA.2.22,0,0.00793924749741111
GBR,BA.2.23,0.00235841856205159,0.06666666666666667
GBR,BA.2.3,0.00575484658830712,0.04036186499652053
GBR,BA.2.36,0,0.0174318260269244
GBR,BA.2.37,0,0.00894744168976296
GBR,BA.2.39,0,0.00267651624645361
GBR,BA.2.41,0,0.01316157938952674
GBR,BA.2.8,0,0.02501823486506199
GBR,BA.2.9,0.0157914822164555,0.08577454886337005
GBR,BA.4,0.0072889635170203,0.22237860661505984
GBR,BA.5,0.01020454892382842,0.37227304714989445
GBR,BA.5.1,0,0.20548909218859956
GBR,XE,0,0.00812097451694203
USA,AY.100,0.02410203214437473,0.07429588524761806
USA,AY.103,0.02349588821956157,0.25833561180584536
USA,AY.107,0,0.00312965997164896
USA,AY.110,0,0.00704830668729585
USA,AY.113,0,0.00828439404260019
USA,AY.114,0,0.00598819551888143
USA,AY.116.1,0,0.00764505638704524
USA,AY.117,0,0.01620353714869551
USA,AY.118,0,0.01974620155921015
USA,AY.119,0,0.02800683829444891
USA,AY.119.2,0,0.01283619461513001
USA,AY.120.1,0,0.00527746681592835
USA,AY.121,0,0.00240630357170941
USA,AY.122,0,0.02136800773914528
USA,AY.127,0,0.00210748155953635
USA,AY.13,0,0.01906479453819399
USA,AY.14,0.01030444672182368,0.03421007392126526
USA,AY.2,0,0.02100537160266175
USA,AY.20,0,0.01977825532966928
USA,AY.25,0.0172032394330992,0.0985037923269276
USA,AY.25.1,0.02047141750193716,0.05555838036643447
USA,AY.25.3,0,0.00193447934196247
USA,AY.26,0.01751568475516784,0.04251905334937826
USA,AY.3,0.02462069137900867,0.12194708564261622
USA,AY.3.1,0,0.01541798488595388
USA,AY.3.3,0,0.00218611893116084
USA,AY.34.1,0,0.00232766620008492
USA,AY.37,0,0.00361349797985546
USA,AY.39,0.01243532381833179,0.04148907726908136
